,batch_size,memory_size,lr,tau,learn_every,sync_every,gamma,eps_decay,max_reward,last_reward
0,50.0,5000.0,0.001,0.001,10.0,3000.0,0.9,150000.0,55117312.02898898,53944469.474994265
1,50.0,5000.0,0.001,0.001,20.0,3000.0,0.9,150000.0,55960875.05754639,55342734.99546248
2,50.0,5000.0,0.001,0.001,30.0,3000.0,0.9,150000.0,55639950.97759293,54406812.750782914
3,50.0,5000.0,0.001,0.003,10.0,3000.0,0.9,150000.0,54512706.0494578,53217080.33920716
4,50.0,5000.0,0.001,0.003,20.0,3000.0,0.9,150000.0,54499492.254909225,53726043.78571673
5,50.0,5000.0,0.001,0.003,30.0,3000.0,0.9,150000.0,54284354.774920546,53714533.49580754
6,50.0,5000.0,0.001,0.005,10.0,3000.0,0.9,150000.0,54413113.888156764,53453704.52919538
7,50.0,5000.0,0.001,0.005,20.0,3000.0,0.9,150000.0,55214672.80425605,55214672.80425605
8,50.0,5000.0,0.001,0.005,30.0,3000.0,0.9,150000.0,55560984.041538395,53976197.20780664
9,50.0,5000.0,0.002,0.001,10.0,3000.0,0.9,150000.0,52551961.568394884,51519435.51931515
10,50.0,5000.0,0.002,0.001,20.0,3000.0,0.9,150000.0,54333591.742635876,53158906.351813644
11,50.0,5000.0,0.002,0.001,30.0,3000.0,0.9,150000.0,54862012.73842504,53237316.809841715
12,50.0,5000.0,0.002,0.003,10.0,3000.0,0.9,150000.0,53218153.022094265,52752390.48457492
13,50.0,5000.0,0.002,0.003,20.0,3000.0,0.9,150000.0,53871108.169008106,53474727.92084941
14,50.0,5000.0,0.002,0.003,30.0,3000.0,0.9,150000.0,53765290.47816188,51425860.23386378
15,50.0,5000.0,0.002,0.005,10.0,3000.0,0.9,150000.0,53927392.8324816,53536093.744119376
16,50.0,5000.0,0.002,0.005,20.0,3000.0,0.9,150000.0,54816007.038047954,51279190.84560266
17,50.0,5000.0,0.002,0.005,30.0,3000.0,0.9,150000.0,53243129.81869627,52162367.73429707
18,50.0,5000.0,0.005,0.001,10.0,3000.0,0.9,150000.0,46754459.76394118,44257716.657806076
19,50.0,5000.0,0.005,0.001,20.0,3000.0,0.9,150000.0,50510170.90025377,48652423.69213387
20,50.0,5000.0,0.005,0.001,30.0,3000.0,0.9,150000.0,49318337.809330985,47660822.000439115
21,50.0,5000.0,0.005,0.003,10.0,3000.0,0.9,150000.0,48147026.70078313,46790861.74044986
22,50.0,5000.0,0.005,0.003,20.0,3000.0,0.9,150000.0,48556307.49540032,45921242.590010956
23,50.0,5000.0,0.005,0.003,30.0,3000.0,0.9,150000.0,48919107.28558265,48102934.32839372
24,50.0,5000.0,0.005,0.005,10.0,3000.0,0.9,150000.0,48878561.60733518,47646875.58143806
25,50.0,5000.0,0.005,0.005,20.0,3000.0,0.9,150000.0,48126136.64714013,47526916.8232981
26,50.0,5000.0,0.005,0.005,30.0,3000.0,0.9,150000.0,49264087.589148834,47366035.560953386
